area_fips,year,qtr,area_title,own_title,month,date,year_decimal,emplvl_limited,State,min_wage,mw_increase,emplvl_all,year_2018,proportion_limited
20011,2011,2,"Bourbon County, Kansas",Private,1,2011-04-01,2011.25,203,KS,7.25,0,4486,0,0.045251894783771736
20013,2011,2,"Brown County, Kansas",Private,1,2011-04-01,2011.25,116,KS,7.25,0,2766,0,0.04193781634128706
20021,2011,2,"Cherokee County, Kansas",Private,1,2011-04-01,2011.25,188,KS,7.25,0,4561,0,0.04121903091427319
20091,2011,2,"Johnson County, Kansas",Private,1,2011-04-01,2011.25,6861,KS,7.25,0,271025,0,0.02531500784060511
20103,2011,2,"Leavenworth County, Kansas",Private,1,2011-04-01,2011.25,582,KS,7.25,0,12378,0,0.04701890450799806
20209,2011,2,"Wyandotte County, Kansas",Private,1,2011-04-01,2011.25,1749,KS,7.25,0,65037,0,0.026892384335070806
29011,2011,2,"Barton County, Missouri",Private,1,2011-04-01,2011.25,225,MO,7.25,0,2524,0,0.08914421553090333
29013,2011,2,"Bates County, Missouri",Private,1,2011-04-01,2011.25,149,MO,7.25,0,2356,0,0.0632427843803056
29021,2011,2,"Buchanan County, Missouri",Private,1,2011-04-01,2011.25,1423,MO,7.25,0,39197,0,0.03630379876010919
29037,2011,2,"Cass County, Missouri",Private,1,2011-04-01,2011.25,952,MO,7.25,0,17707,0,0.05376404811656407
29047,2011,2,"Clay County, Missouri",Private,1,2011-04-01,2011.25,2877,MO,7.25,0,74120,0,0.038815434430652995
29095,2011,2,"Jackson County, Missouri",Private,1,2011-04-01,2011.25,9741,MO,7.25,0,278724,0,0.03494855125500495
29097,2011,2,"Jasper County, Missouri",Private,1,2011-04-01,2011.25,1956,MO,7.25,0,49811,0,0.03926843468310213
29145,2011,2,"Newton County, Missouri",Private,1,2011-04-01,2011.25,587,MO,7.25,0,16277,0,0.03606315660133931
29165,2011,2,"Platte County, Missouri",Private,1,2011-04-01,2011.25,1286,MO,7.25,0,35374,0,0.03635438457624244
29217,2011,2,"Vernon County, Missouri",Private,1,2011-04-01,2011.25,272,MO,7.25,0,5442,0,0.04998162440279309
20005,2011,2,"Atchison County, Kansas",Private,2,2011-05-01,2011.3333333333333,227,KS,7.25,0,4931,0,0.046035286960048674
20011,2011,2,"Bourbon County, Kansas",Private,2,2011-05-01,2011.3333333333333,230,KS,7.25,0,4516,0,0.05093002657218778
20013,2011,2,"Brown County, Kansas",Private,2,2011-05-01,2011.3333333333333,113,KS,7.25,0,2832,0,0.039901129943502825
20021,2011,2,"Cherokee County, Kansas",Private,2,2011-05-01,2011.3333333333333,200,KS,7.25,0,4606,0,0.04342162396873643
20091,2011,2,"Johnson County, Kansas",Private,2,2011-05-01,2011.3333333333333,7084,KS,7.25,0,273819,0,0.02587110463481351
20103,2011,2,"Leavenworth County, Kansas",Private,2,2011-05-01,2011.3333333333333,587,KS,7.25,0,12382,0,0.047407527055403006
20209,2011,2,"Wyandotte County, Kansas",Private,2,2011-05-01,2011.3333333333333,1756,KS,7.25,0,65859,0,0.026663022517803187
29011,2011,2,"Barton County, Missouri",Private,2,2011-05-01,2011.3333333333333,221,MO,7.25,0,2547,0,0.0867687475461327
29013,2011,2,"Bates County, Missouri",Private,2,2011-05-01,2011.3333333333333,158,MO,7.25,0,2379,0,0.0664144598570828
29021,2011,2,"Buchanan County, Missouri",Private,2,2011-05-01,2011.3333333333333,1445,MO,7.25,0,39087,0,0.036968813160385805
29037,2011,2,"Cass County, Missouri",Private,2,2011-05-01,2011.3333333333333,1011,MO,7.25,0,18000,0,0.05616666666666666
29047,2011,2,"Clay County, Missouri",Private,2,2011-05-01,2011.3333333333333,3007,MO,7.25,0,74832,0,0.04018334402394697
29095,2011,2,"Jackson County, Missouri",Private,2,2011-05-01,2011.3333333333333,10000,MO,7.25,0,279120,0,0.03582688449412439
29097,2011,2,"Jasper County, Missouri",Private,2,2011-05-01,2011.3333333333333,1979,MO,7.25,0,49729,0,0.039795692654185685
29145,2011,2,"Newton County, Missouri",Private,2,2011-05-01,2011.3333333333333,621,MO,7.25,0,16306,0,0.03808414080706488
29165,2011,2,"Platte County, Missouri",Private,2,2011-05-01,2011.3333333333333,1294,MO,7.25,0,35446,0,0.0365062348360887
29217,2011,2,"Vernon County, Missouri",Private,2,2011-05-01,2011.3333333333333,277,MO,7.25,0,5430,0,0.051012891344383055
20005,2011,2,"Atchison County, Kansas",Private,3,2011-06-01,2011.4166666666667,215,KS,7.25,0,4964,0,0.04331184528605963
20011,2011,2,"Bourbon County, Kansas",Private,3,2011-06-01,2011.4166666666667,226,KS,7.25,0,4563,0,0.04952881875958799
20013,2011,2,"Brown County, Kansas",Private,3,2011-06-01,2011.4166666666667,113,KS,7.25,0,2861,0,0.03949667948269836
20021,2011,2,"Cherokee County, Kansas",Private,3,2011-06-01,2011.4166666666667,208,KS,7.25,0,4694,0,0.044311887515977845
20091,2011,2,"Johnson County, Kansas",Private,3,2011-06-01,2011.4166666666667,7195,KS,7.25,0,273775,0,0.026280704958451282
20103,2011,2,"Leavenworth County, Kansas",Private,3,2011-06-01,2011.4166666666667,596,KS,7.25,0,12416,0,0.04800257731958763
20209,2011,2,"Wyandotte County, Kansas",Private,3,2011-06-01,2011.4166666666667,1760,KS,7.25,0,66276,0,0.026555615909228076
29011,2011,2,"Barton County, Missouri",Private,3,2011-06-01,2011.4166666666667,220,MO,7.25,0,2627,0,0.08374571754853445
29013,2011,2,"Bates County, Missouri",Private,3,2011-06-01,2011.4166666666667,148,MO,7.25,0,2381,0,0.0621587568248635
29021,2011,2,"Buchanan County, Missouri",Private,3,2011-06-01,2011.4166666666667,1411,MO,7.25,0,39396,0,0.03581581886485938
29037,2011,2,"Cass County, Missouri",Private,3,2011-06-01,2011.4166666666667,1029,MO,7.25,0,17800,0,0.057808988764044944
29047,2011,2,"Clay County, Missouri",Private,3,2011-06-01,2011.4166666666667,3003,MO,7.25,0,75867,0,0.039582427142235754
29095,2011,2,"Jackson County, Missouri",Private,3,2011-06-01,2011.4166666666667,10151,MO,7.25,0,279922,0,0.03626367345189017
29097,2011,2,"Jasper County, Missouri",Private,3,2011-06-01,2011.4166666666667,2095,MO,7.25,0,49748,0,0.04211224571842084
29145,2011,2,"Newton County, Missouri",Private,3,2011-06-01,2011.4166666666667,657,MO,7.25,0,16502,0,0.039813355956853716
29165,2011,2,"Platte County, Missouri",Private,3,2011-06-01,2011.4166666666667,1273,MO,7.25,0,35960,0,0.03540044493882091
29217,2011,2,"Vernon County, Missouri",Private,3,2011-06-01,2011.4166666666667,279,MO,7.25,0,5436,0,0.05132450331125828
20005,2011,3,"Atchison County, Kansas",Private,1,2011-07-01,2011.5,210,KS,7.25,0,4986,0,0.0421179302045728
20011,2011,3,"Bourbon County, Kansas",Private,1,2011-07-01,2011.5,223,KS,7.25,0,4515,0,0.04939091915836102
20013,2011,3,"Brown County, Kansas",Private,1,2011-07-01,2011.5,115,KS,7.25,0,2875,0,0.04
20021,2011,3,"Cherokee County, Kansas",Private,1,2011-07-01,2011.5,208,KS,7.25,0,4596,0,0.04525674499564839
20091,2011,3,"Johnson County, Kansas",Private,1,2011-07-01,2011.5,7109,KS,7.25,0,276557,0,0.025705369959899766
20103,2011,3,"Leavenworth County, Kansas",Private,1,2011-07-01,2011.5,585,KS,7.25,0,12393,0,0.04720406681190995
20209,2011,3,"Wyandotte County, Kansas",Private,1,2011-07-01,2011.5,1810,KS,7.25,0,66540,0,0.027201683198076344
29011,2011,3,"Barton County, Missouri",Private,1,2011-07-01,2011.5,221,MO,7.25,0,2590,0,0.08532818532818533
29013,2011,3,"Bates County, Missouri",Private,1,2011-07-01,2011.5,153,MO,7.25,0,2304,0,0.06640625
29021,2011,3,"Buchanan County, Missouri",Private,1,2011-07-01,2011.5,1375,MO,7.25,0,39416,0,0.03488431093971991
29037,2011,3,"Cass County, Missouri",Private,1,2011-07-01,2011.5,994,MO,7.25,0,17776,0,0.05591809180918092
29047,2011,3,"Clay County, Missouri",Private,1,2011-07-01,2011.5,3002,MO,7.25,0,75264,0,0.03988626700680272
29095,2011,3,"Jackson County, Missouri",Private,1,2011-07-01,2011.5,10050,MO,7.25,0,280613,0,0.03581444908111884
29097,2011,3,"Jasper County, Missouri",Private,1,2011-07-01,2011.5,1986,MO,7.25,0,48872,0,0.04063676542805696
29145,2011,3,"Newton County, Missouri",Private,1,2011-07-01,2011.5,621,MO,7.25,0,16410,0,0.037842778793418644
29165,2011,3,"Platte County, Missouri",Private,1,2011-07-01,2011.5,1250,MO,7.25,0,35838,0,0.03487917852558736
29217,2011,3,"Vernon County, Missouri",Private,1,2011-07-01,2011.5,274,MO,7.25,0,5332,0,0.05138784696174044
20005,2011,3,"Atchison County, Kansas",Private,2,2011-08-01,2011.5833333333333,198,KS,7.25,0,4932,0,0.040145985401459854
20011,2011,3,"Bourbon County, Kansas",Private,2,2011-08-01,2011.5833333333333,221,KS,7.25,0,4475,0,0.0493854748603352
20013,2011,3,"Brown County, Kansas",Private,2,2011-08-01,2011.5833333333333,112,KS,7.25,0,2899,0,0.03863401172818213
20021,2011,3,"Cherokee County, Kansas",Private,2,2011-08-01,2011.5833333333333,217,KS,7.25,0,4637,0,0.046797498382574944
20091,2011,3,"Johnson County, Kansas",Private,2,2011-08-01,2011.5833333333333,7119,KS,7.25,0,277011,0,0.02569934045940414
20103,2011,3,"Leavenworth County, Kansas",Private,2,2011-08-01,2011.5833333333333,585,KS,7.25,0,12377,0,0.047265088470550214
20209,2011,3,"Wyandotte County, Kansas",Private,2,2011-08-01,2011.5833333333333,1825,KS,7.25,0,67211,0,0.027153293359717903
29011,2011,3,"Barton County, Missouri",Private,2,2011-08-01,2011.5833333333333,213,MO,7.25,0,2535,0,0.08402366863905325
29013,2011,3,"Bates County, Missouri",Private,2,2011-08-01,2011.5833333333333,154,MO,7.25,0,2295,0,0.06710239651416122
29021,2011,3,"Buchanan County, Missouri",Private,2,2011-08-01,2011.5833333333333,1397,MO,7.25,0,39325,0,0.035524475524475525
29037,2011,3,"Cass County, Missouri",Private,2,2011-08-01,2011.5833333333333,978,MO,7.25,0,17826,0,0.054863682261864694
29047,2011,3,"Clay County, Missouri",Private,2,2011-08-01,2011.5833333333333,3013,MO,7.25,0,73014,0,0.041266058564110995
29095,2011,3,"Jackson County, Missouri",Private,2,2011-08-01,2011.5833333333333,10053,MO,7.25,0,282486,0,0.03558760434145409
29097,2011,3,"Jasper County, Missouri",Private,2,2011-08-01,2011.5833333333333,1953,MO,7.25,0,48944,0,0.039902745995423344
29145,2011,3,"Newton County, Missouri",Private,2,2011-08-01,2011.5833333333333,650,MO,7.25,0,16664,0,0.03900624099855977
29165,2011,3,"Platte County, Missouri",Private,2,2011-08-01,2011.5833333333333,1241,MO,7.25,0,35848,0,0.0346183887525106
29217,2011,3,"Vernon County, Missouri",Private,2,2011-08-01,2011.5833333333333,271,MO,7.25,0,5332,0,0.050825206301575394
20005,2011,3,"Atchison County, Kansas",Private,3,2011-09-01,2011.6666666666667,201,KS,7.25,0,4978,0,0.04037766171153073
20011,2011,3,"Bourbon County, Kansas",Private,3,2011-09-01,2011.6666666666667,219,KS,7.25,0,4515,0,0.04850498338870432
20013,2011,3,"Brown County, Kansas",Private,3,2011-09-01,2011.6666666666667,114,KS,7.25,0,2890,0,0.03944636678200692
20021,2011,3,"Cherokee County, Kansas",Private,3,2011-09-01,2011.6666666666667,226,KS,7.25,0,4636,0,0.04874892148403796
20091,2011,3,"Johnson County, Kansas",Private,3,2011-09-01,2011.6666666666667,6909,KS,7.25,0,274765,0,0.02514512401506742
20103,2011,3,"Leavenworth County, Kansas",Private,3,2011-09-01,2011.6666666666667,573,KS,7.25,0,12605,0,0.04545815152717176
20209,2011,3,"Wyandotte County, Kansas",Private,3,2011-09-01,2011.6666666666667,1778,KS,7.25,0,66915,0,0.026571022939550177
29011,2011,3,"Barton County, Missouri",Private,3,2011-09-01,2011.6666666666667,212,MO,7.25,0,2529,0,0.08382759984183472
29013,2011,3,"Bates County, Missouri",Private,3,2011-09-01,2011.6666666666667,144,MO,7.25,0,2285,0,0.06301969365426696
29021,2011,3,"Buchanan County, Missouri",Private,3,2011-09-01,2011.6666666666667,1358,MO,7.25,0,39245,0,0.03460313415721748
29037,2011,3,"Cass County, Missouri",Private,3,2011-09-01,2011.6666666666667,952,MO,7.25,0,18121,0,0.052535732023619004
29047,2011,3,"Clay County, Missouri",Private,3,2011-09-01,2011.6666666666667,2902,MO,7.25,0,74792,0,0.03880094127714194
29095,2011,3,"Jackson County, Missouri",Private,3,2011-09-01,2011.6666666666667,9942,MO,7.25,0,280646,0,0.03542541137233383
29097,2011,3,"Jasper County, Missouri",Private,3,2011-09-01,2011.6666666666667,2010,MO,7.25,0,49328,0,0.04074764839442102
